Floor Level,Layer,Materials,Mass,Volume,Green Book EC,EPiC EC,ICE EC
LEVEL 09,2 SLABS - CONC,Reinforcement Bar,3579.0637512339454,0.45593168805527995,10379.28487857844,10379.28487857844,7122.336864955551
LEVEL 09,2 SLABS TIMBER,TIMBER - STRUCTURAL,124914.2991,184.5116,132479.3288,316990.9288,63706.292541
LEVEL 09,2 STAIRS/RAMPS,Concrete,7216.942637964775,11.190998043052838,7195.811741682975,6714.598825831703,4627.413902113503
LEVEL 09,2 STAIRS/RAMPS,Reinforcement Bar,1932.6853620352258,0.24620195694716251,5604.787549902155,5604.787549902155,3846.0438704500993
LEVEL 09,2 STAIRS/RAMPS,Concrete,8505.433342465754,3.73013698630137,2398.4780821917807,2238.082191780822,1542.3903820547946
LEVEL 09,2 STAIRS/RAMPS,Reinforcement Bar,644.1946575342463,0.08206301369863,1868.1645068493142,1868.1645068493142,1281.9473684931502
LEVEL 09,2 WALLS - CONC,Concrete,161547.98112289625,70.85127201565557,45557.36790606653,42510.76320939334,29296.59712622309
LEVEL 09,2 WALLS - CONC,Reinforcement Bar,12236.014677103754,1.5587279843444293,35484.44256360089,35484.44256360089,24349.669207436473
LEVEL 10,2 BEAMS - CONC,Concrete,9452.44520943669,4.315840154068368,2775.0852190659607,2589.504092441021,1784.5753034183922
LEVEL 10,2 BEAMS - CONC,Reinforcement Bar,1304.3547905633095,0.1661598459316318,3782.6288926335974,3782.6288926335974,2595.666033220986
LEVEL 10,2 BEAMS-TIMBER,TIMBER - STRUCTURAL,234946.1894,347.04,249174.72,596214.7200000001,119822.55659400001
LEVEL 10,2 COLOUMNS-TIMBER,TIMBER - STRUCTURAL,53520.912,79.056,56762.208,135818.20799999998,27295.665119999998
LEVEL 10,2 COLUMNS - CONC,Concrete,21610.77886647455,9.928914505283382,6384.292026897215,5957.348703170029,4105.5495531219985
LEVEL 10,2 COLUMNS - CONC,Reinforcement Bar,3195.621133525452,0.40708549471661826,9267.30128722381,9267.30128722381,6359.286055715649
LEVEL 10,2 SLABS - CONC,Concrete,81687.17614876606,35.07166831194472,22551.082724580454,21043.000987166834,14501.934938479764
LEVEL 10,2 SLABS - CONC,Reinforcement Bar,3579.0637512339454,0.45593168805527995,10379.28487857844,10379.28487857844,7122.336864955551
LEVEL 10,2 SLABS TIMBER,TIMBER - STRUCTURAL,118817.5078,175.506,126013.308,301519.308,60596.928978
LEVEL 10,2 STAIRS/RAMPS,Concrete,7216.942637964775,11.190998043052838,7195.811741682975,6714.598825831703,4627.413902113503
LEVEL 10,2 STAIRS/RAMPS,Reinforcement Bar,1932.6853620352258,0.24620195694716251,5604.787549902155,5604.787549902155,3846.0438704500993
LEVEL 10,2 STAIRS/RAMPS,Concrete,8505.433342465754,3.73013698630137,2398.4780821917807,2238.082191780822,1542.3903820547946
LEVEL 10,2 STAIRS/RAMPS,Reinforcement Bar,644.1946575342463,0.08206301369863,1868.1645068493142,1868.1645068493142,1281.9473684931502
LEVEL 10,2 WALLS - CONC,Concrete,161547.98112289625,70.85127201565557,45557.36790606653,42510.76320939334,29296.59712622309
LEVEL 10,2 WALLS - CONC,Reinforcement Bar,12236.014677103754,1.5587279843444293,35484.44256360089,35484.44256360089,24349.669207436473
LEVEL 11 ROOF LMR,2 BEAMS - CONC,Concrete,32410.060641405875,14.798074145402023,9515.1616754935,8878.844487241213,6118.919310101108
LEVEL 11 ROOF LMR,2 BEAMS - CONC,Reinforcement Bar,4472.347958594128,0.5697258545979782,12969.80907992297,12969.80907992297,8899.972437602313
LEVEL 11 ROOF LMR,2 BEAMS-TIMBER,TIMBER - STRUCTURAL,346881.4822,512.381,367889.55799999996,880270.558,176909.55592200003
LEVEL 11 ROOF LMR,2 COLOUMNS-TIMBER,TIMBER - STRUCTURAL,57664.152,85.176,61156.368,146332.36800000002,29408.717520000002
